"URL","Texto","Frecuencia","Estado"
"https://commons.wikimedia.org/wiki/Main_Page","Wikimedia Commons",1,200
"https://commons.wikimedia.org/wiki/Special:UploadWizard","Upload file",1,200
"https://creativecommons.org/licenses/by-sa/4.0/deed.en","Creative Commons Attribution-ShareAlike License",1,200
"https://creativecommons.org/publicdomain/zero/1.0/","Creative Commons CC0 License",1,200
"https://developer.wikimedia.org","Wikimedia Developer Portal",2,200
"https://developer.wikimedia.org/","Developer portal",1,200
"https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=www.mediawiki.org&uselang=en","Donate",2,200
"https://en.wikibooks.org/wiki/Main_Page","Wikibooks",1,200
"https://en.wikinews.org/wiki/Main_Page","Wikinews",1,200
"https://en.wikipedia.org/wiki/FLOSS","free and open",1,200
"https://en.wikipedia.org/wiki/Main_Page","Wikipedia",1,200
"https://en.wikiquote.org/wiki/Main_Page","Wikiquote",1,200
"https://en.wikisource.org/wiki/Main_Page","Wikisource",1,200
"https://en.wikiversity.org/wiki/Wikiversity:Main_Page","Wikiversity",1,200
"https://en.wikivoyage.org/wiki/Main_Page","Wikivoyage",1,200
"https://en.wiktionary.org/wiki/Wiktionary:Main_Page","Wiktionary",1,200
"https://foundation.wikimedia.org/wiki/Home","Wikimedia Foundation",1,200
"https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement","Cookie statement",1,200
"https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy","Privacy Policy",2,200
"https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Terms_of_Use","Terms of Use",1,200
"https://lists.wikimedia.org/hyperkitty/list/mediawiki-announce@lists.wikimedia.org/thread/5NYC4UZLY3MWQZ6DYJAUQRJG2ZHZFBJ6/","MediaWiki 1.41.x versions",1,200
"https://lists.wikimedia.org/hyperkitty/list/wikitech-l@lists.wikimedia.org/thread/PFTE5RHUERS6KTUGGRZO7XXV5THNJ77E/","Maintenance release: 1.39.11, 1.41.5 and 1.42.4",1,200
"https://lists.wikimedia.org/hyperkitty/list/wikitech-l@lists.wikimedia.org/thread/UYZUOQEWN2NL22PU42JW7TF6JO56RWWV/","MediaWiki 1.43.0",1,200
"https://m.mediawiki.org/w/index.php?title=MediaWiki&mobileaction=toggle_view_mobile","Mobile view",1,200
"https://meta.wikimedia.org/wiki/Main_Page","Meta-Wiki",1,200
"https://outreach.wikimedia.org/wiki/Main_Page","Wikimedia Outreach",1,200
"https://species.wikimedia.org/wiki/Main_Page","Wikispecies",1,200
"https://stats.wikimedia.org/#/www.mediawiki.org","Statistics",1,200
"https://techblog.wikimedia.org/","Tech blog",1,200
"https://wikimania.wikimedia.org/wiki/Wikimania","Wikimania",1,200
"https://wikimediafoundation.org/","",1,200
"https://wikisource.org/wiki/Main_Page","Multilingual Wikisource",1,200
"https://www.mediawiki.org/","",1,200
"https://www.mediawiki.org/w/index.php?title=MediaWiki&oldid=6287429","https://www.mediawiki.org/w/index.php?title=MediaWiki&oldid=6287429",1,200
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=MediaWiki&action=edit","View source",2,200
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=MediaWiki&action=history","View history",2,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=MediaWiki&action=info","Page information",1,200
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=MediaWiki&oldid=6287429","Permanent link",1,200
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=MediaWiki&printable=yes","Printable version",1,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:Book&bookcmd=book_creator&referer=MediaWiki","Create a book",1,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:CiteThisPage&page=MediaWiki&id=6287429&wpFormIdentifier=titleform","Cite this page",1,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:CreateAccount&returnto=MediaWiki","Create account",2,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:DownloadAsPdf&page=MediaWiki&action=show-download-screen","Download as PDF",1,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:QrCode&url=https%3A%2F%2Fwww.mediawiki.org%2Fwiki%2FMediaWiki","Download QR code",1,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fwww.mediawiki.org%2Fwiki%2FMediaWiki","Get shortened URL",1,404
"https://www.mediawiki.org/wiki/MediaWiki/w/index.php?title=Special:UserLogin&returnto=MediaWiki","Log in",2,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Category:Languages_pages","Languages pages",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Development_statistics","Code statistics",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Download","Get MediaWiki",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/File:Wikimedia_Hackathon_2024_-_Group_photo,_360_cam.jpg","",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Help:Contents"," ",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Help:Editing_pages"," ",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Help:Introduction","learn more",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Help:Navigation"," ",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/How_to_report_a_bug"," ",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/MediaWiki","Main page",5,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Professional_development_and_consulting"," ",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:About","About mediawiki.org",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:General_disclaimer","Disclaimers",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:Help","Community portal",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:Language_policy"," ",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:Sandbox","Sandbox",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:Support_desk","Support desk",2,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Project:Village_Pump","Village pump",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:LanguageStats","Translate content",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyContributions","Contributions",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Category:Extensions","Get extensions",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Communication","Communication",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Developer_hub","developer documentation",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Download","Download",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Help:Contents","User help",2,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Help:Editing_pages","Learn how to edit a page",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Help:Navigation","Learn how to navigate",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Hosting_services","hosting services",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/How_to_contribute","Contribute",2,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/How_to_report_a_bug","Report wrong software behaviour or a feature proposal",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Localisation","multilingual",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Manual:Common_errors_and_symptoms","errors and symptoms",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Manual:Contents","Technical manual",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Manual:Deciding_whether_to_use_a_wiki_as_your_website_type","if MediaWiki is right for you",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Manual:Extensions","extensions",1,404
"https://www.mediawiki.org/wiki/MediaWiki/wiki/Special:MyLanguage/Manual:FAQ","FAQ",2,404
